LanguageSettings/LanguageSelection	语言选择
LanguageSettings/SwitchCurrentLocale	切换当前语言环境
Home/ForYouFind	为您找到
Home/RelatedCollectionTemplates	个相关采集模板，无需配置，轻松采集数据
Home/ViewAllTemplates	查看全部模板
Home/More	更多>>
MainClient/Expire	到期
LocalRunner/ToUpgrade	前往升级
LocalRunner/NoRemind	不再提醒
LocalRunner/LessThan1	少于1
LocalRunner/StripMinutes	条/分钟
LocalRunner/ErrorReporting	_错误报告
TaskData/First	第
TaskData/Batch	批
TaskData/Common	共
TaskData/TheData	条数据
ExportDbData/TargetTableIllegal	目标数据库的数据表表名包含有非法英文字符点“.”符号，导致数据无法导出，请更新表名后重新导出！
SimpleTemplate/CurrentTemplateTaskCloud	当前模板任务云采集需消耗简易模板余额，您当前余额为：
SimpleTemplate/RechargeBeforeRunning	，请充值后再运行该模板任务。
CustomTask/RightBrackets	)
CustomTask/FieldUsedTrigger	该字段已在相关触发器中使用，删除后将会禁用相关触发器，确定删除吗？
CustomTask/ElementXPathNotFound	找不到与该XPath表达式匹配的元素:
CustomTask/TriggerNameExist	触发器名称“
CustomTask/EnterAgain	”已存在，请重新输入！
CustomTask/HasChosenThe	已选择了
CustomTask/FieldsTotal	个字段（共
CustomTask/FollowingTheList	行），以下是列表，您可以继续选择更多字段。
CustomTask/Requested	正在请求：
CustomTask/RequestError	请求错误：
CustomTask/ArrayDisplayedBefore	 (数组类型子节点只显示前
CustomTask/EntriesRight	个)
CustomTask/Label	标签：
CustomTask/Text	文本：
CustomTask/SetNow	设置了
CustomTask/SubconditionalBranch	个条件分支
CustomTask/CollectionField	个采集字段
CustomTask/ATrigger	个触发器
CustomTask/XPathExpressionNotFound	找不到与该XPath表达式匹配的元素:
CustomTask/ExitTheLoop	次后退出循环
CustomTask/GroupFollowingList	组），以下是列表，您可以继续选择更多元素，或：
CustomTask/MoveMouseThis	鼠标移动到该
CustomTask/OctopusWillMimic	八爪鱼将会模仿人为操作，鼠标将会移动到该
CustomTask/Up	上。
CustomTask/LoopClick	循环点击
CustomTask/OctopusWillMimicLoopClick	八爪鱼将会模仿人为操作，循环点击
CustomTask/CurrentElementCommon	当前元素共
CustomTask/ChildElementsBox	个子元素，已在网页上用红色虚线框标记
CustomTask/OneButtonSelected	已选中一个按钮，同时发现个
CustomTask/SimilarButton	同类按钮，您可以：
CustomTask/OneElementFound	已选中一个元素，同时发现
CustomTask/ElementYouCan	个同类元素，您可以：
CustomTask/PictureSelected	已选中一个图片，同时发现
CustomTask/SimilarPicturesYouCan	个同类图片，您可以：
CustomTask/LinkSelected	已选中一个链接，同时发现个
CustomTask/SimilarLinkYouCan	同类链接，您可以：
CustomTask/Selected	已选中
CustomTask/BlockElements	个区块元素，同时发现每个区块元素里面，有子元素存在（共
CustomTask/GroupYouCan	组），您可以：
CustomTask/GoingShow50	(只展示头尾各50行)
CustomTask/HereList	，以下是列表
CustomTask/YouCan	，您可以：
CustomTask/ChildElementsFound	已为你选中子元素，同时发现
CustomTask/GroupSimilarElements	组同类元素，你可以：
CustomTask/YouCanSelectMore	个链接，您可以选择更多元素，或：
CustomTask/ContinueSelectElementsRed	个元素，同时发现页面中存在其他同类元素（位于红色预选框中），您可以继续选择更多元素，或：
CustomTask/ElementsSelectedHereList	已选中一组元素，以下是列表
CustomTask/FollowingListYouCan	，以下是列表，您可以：
CustomTask/Parameter	参数
